"wpid_random","wgt","account","sex","educ","inc_q","inlf","age_g","internetaccess"
199893106,0.325736094404951,1,"Female","tertiary","Middle 20%",0,"15-29",1
124497814,1.32732808021845,1,"Male","primary","Poorest 20%",0,"30-44",0
183293857,1.46184340306218,1,"Male","primary","Second 20%",1,"15-29",0
152780466,0.390209498970477,1,"Female","secondary","Second 20%",0,"15-29",0
205473124,2.41692670492018,1,"Male","primary","Poorest 20%",1,"15-29",0
178577766,1.15923254842205,1,"Male","tertiary","Richest 20%",1,"45-59",1
164347218,0.272743111195708,1,"Male","secondary","Second 20%",1,"45-59",1
165129867,0.586724681947751,1,"Female","primary","Middle 20%",0,"15-29",0
203022308,1.21107318726986,0,"Female","secondary","Poorest 20%",0,"30-44",0
186920918,0.706114774554139,0,"Female","secondary","Poorest 20%",0,"15-29",0
179230569,0.373915850959873,1,"Male","tertiary","Fourth 20%",1,"15-29",1
208332657,0.754650531338006,1,"Female","primary","Richest 20%",0,"45-59",0
210219992,0.951115804890918,1,"Male","secondary","Poorest 20%",1,"15-29",0
179477226,0.563038643489356,1,"Male","secondary","Richest 20%",1,"45-59",0
199335103,0.282274252683158,1,"Female","tertiary","Richest 20%",0,"15-29",1
190284266,0.429561325319321,1,"Female","secondary","Middle 20%",0,"15-29",0
167948093,2.41692670492018,1,"Male","secondary","Second 20%",1,"30-44",1
137704474,1.88714974272905,1,"Male","secondary","Richest 20%",1,"45-59",1
205583218,1.19695648553998,1,"Male","primary","Fourth 20%",1,"45-59",0
120469001,0.563149399629843,1,"Female","secondary","Richest 20%",0,"30-44",1
179666440,2.41692670492018,1,"Female","primary","Middle 20%",0,"45-59",0
186648692,0.399136560274393,1,"Female","secondary","Second 20%",0,"15-29",1
165995789,2.06826200560897,1,"Female","primary","Second 20%",0,"60 and older",0
170654715,1.67413138272878,1,"Female","primary","Middle 20%",1,"15-29",0
188682230,1.79298907410431,0,"Female","primary","Poorest 20%",0,"15-29",0
